,Dataset,[bandwidth],f1 score,Adjusted Random Score,Silhouette Score,Execution Time
0,Iris,[0.2],0.49446849446849445,0.6021068350207883,0.34705679662482986,0.7420153617858887
1,Iris,[0.3],0.18357487922705315,0.5934865709792337,0.4764859649483074,1.0302417278289795
2,Iris,[0.4],0.0,0.5681159420289855,0.6294675561906644,0.6622285842895508
3,Iris,[0.5],0.0,0.5681159420289855,0.6294675561906644,0.5176143646240234
4,Iris,[0.6],0.16666666666666666,0.0,,0.6442756652832031
5,Iris,[0.7],0.16666666666666666,0.0,,0.8258211612701416
6,Iris,[0.8],0.16666666666666666,0.0,,0.5056507587432861
7,Wine,[0.2],0.011048689138576779,0.0,,0.3011963367462158
8,Wine,[0.3],0.0791547878584605,0.022752752261857887,,0.3420851230621338
9,Wine,[0.4],0.5503692624479142,0.26672355441156004,,0.6582396030426025
10,Wine,[0.5],0.333826138379657,0.6296183890646102,,0.8716673851013184
11,Wine,[0.6],0.2641534878825356,0.39530785763462867,,0.7350277900695801
12,Wine,[0.7],0.4298092616018057,0.360929084456494,0.22065665621240382,1.094066858291626
13,Wine,[0.8],0.17681023720349562,-0.001963001963001963,0.26375348680377736,1.321462631225586
